Chapter,Verse, Explanation
1,1,"The word ""atha"" is used in two ways in Vedic scriptures. Firstly, it is used as an invitation to initiate the ritual or ceremony, and secondly, it is used to indicate that the previous processes or preparations have been completed. When a seeker has completed the necessary preparations or has developed the required mindset, Maharshi Patanjali says, ""Then"" (atha), ""Now"" (ab) is the time to start the Yoga discipline.

In everyday language, when we say ""ab"", it means ""until now"" or ""till now"", implying that something has happened or is already done. For instance, ""I have made a mistake, now I won't do it again"".

Similarly, in the context of Yoga, if one has completed the necessary preparations or has developed the required mindset, Maharshi Patanjali says, ""Now"" (ab) is the time to start the Yoga discipline.

Just like one needs to meet the necessary qualifications to enter a university, one needs to meet the necessary yogic qualifications to enter the discipline of Yoga. When one is no longer satisfied with external and worldly solutions, when one's mind is eager to enter the kingdom within, when one is aware of their defects and longs to completely eradicate them, when one desires to be free from all vices, then the time comes to enter the discipline of Yoga.

When one's mind is filled with such feelings and sentiments, Maharshi Patanjali says, ""Now"" (ab) is the time to start the Yoga discipline. Those who have developed such feelings and sentiments in their lives can start the Yoga discipline."
1,2,"Yoga is the cessation of the modifications of the mind. In ancient times, the tradition of guru-shishya parampara was prevalent, where the guru taught the shishya (student) philosophy through the study of scriptures. Before the study of scriptures, the student was provided with initial education to understand the subject matter. The study was conducted through a dialogue between the guru and shishya, where the student would ask questions and the guru would provide answers. In this way, a harmony was maintained throughout the learning process.

The first aphorism of yoga philosophy is ""Athayoganushasanan."" As soon as we read this, a spontaneous inquiry arises: What is yoga? This inquiry is natural, and Maharshi Patanjali, while defining yoga, explains to his students: Cessation of the modifications of the mind is yoga. This is a comprehensive, concise, and profound definition of yoga. To understand yoga in its entirety, it is necessary to understand what the mind is, what its modifications are, and what does the word ""niruddha"" mean.

The mind is a vast terrain where thoughts arise, grow, and take root in the form of habits. The mind is a kind of ground where thoughts arise, and it has five types: kshipta, vikshipta, mudha, ekagra, and niruddha. Here's an important point: yoga is possible only when the mind reaches a state of ekagra and niruddha.

Now, let's discuss the concept of vritti. Vritti is not a singular concept, but a plural one, meaning that it is not one, but multiple. We will discuss the various aspects of vritti further. The word ""niruddha"" means to stop the waves of thought; it is not just a matter of suppressing the mind.

In Sanskrit, the importance of prefixes and suffixes is immense, as they can change the meaning of a word completely. Maharshi Patanjali was not only the author of yoga philosophy but also a great grammarian. If he had used the prefix ""ni"" with the root ""rudh,"" it would not have been futile. When one tries to stop the modifications of the mind, yoga is still not complete.

Many have interpreted ""niruddha"" as restraining the mind, meaning ceasing the modifications of the mind. However, if the attempt to restrain"
1,3,"one must feel oneself as separate to behold one's purest form, to know oneself. This is the first and most important step towards self-knowledge. As soon as we become the Seer, the visible world becomes different from us; we can then practice the use of discrimination to establish ourselves in our true Form. The second word is Form. There are three states in this world: Jiva, Prakriti, and Purush, each having its own Form, which we must know to achieve the purpose of our existence. Samkhya philosophy discusses the Form of the Jiva. Asangoham purusha ity (1.15): this Jiva is formless. The individual who sees remains unaffected by what he sees, and is therefore called Asang. 

In the same way, the lotus flower remains unaffected by its association with water or mud. Samkhya Darshan's first chapter, verse 19, declares the Jiva to be forever pure, forever aware, and forever free. Maharshi has expressed the same pure, aware, and free nature of the Jiva through the word Form in this sutra. When one is established in yoga, one achieves one's Form."
1,4,"When the tendencies of the mind are not controlled, the jiva-atma behaves according to the tendencies of the mind, just as the tendencies are. It perceives, listens, understands, and experiences accordingly. The tendencies also lead to worldly attachment and bring momentary happiness. There are three initial stages of the mind - kshipt, muudh, and vikshipt - which turn the seeker towards the world. The question arises that when the seeker is not in the state of niruddha but is in one of the three states, why does the jiva-atma adopt tendencies similar to the mind? The reason is that the senses are naturally outward-going and all the states except niruddha and ekagra lead the tendencies outward. The jiva-atma can experience only through the medium of external senses and therefore adopts the tendency of the mind. Since the first three stages enable one to gain knowledge of the world and their movement is opposite to that of niruddha and ekagra, they always lead towards the world, never towards the self. Yoga begins with the state of ekagrata and culminates in the state of niruddha, simultaneously establishing the true self. It is not that the jiva-atma becomes the tendency, but rather it is manifested like a gemstone being coloured by a dye. Just as a gemstone becomes the same colour as the dye, the jiva-atma also becomes like the tendency it is associated with, whether in the external world or in the world of attachment."
1,5,"""Patanjali, the seer, has described the yogic perspective on mental faculties or vrittis in the second sutra of the Samadhipada. However, there are two more aspects to these vrittis, namely the subtle and the gross, which are five in number, and each of these five vrittis has both subtle and gross aspects. Therefore, it is essential to understand the subtle and gross nature of these vrittis. The entire science of yoga is based on the control of vrittis, and hence, it is crucial to understand them clearly. Until we understand the nature of the problem, we cannot find its solution or remedy. Therefore, let us try to understand the subtle vrittis, which are those that generate the five kleshas (avidya, asmita, raga, dvesha, and abhinivesha) and are the fertile ground for karma-generated tendencies. In short, the vrittis that cause suffering are the subtle ones, and they are subject to control. The vrittis that generate knowledge and block the influence of satva, rajas, and tamas are considered gross vrittis, also known as sattvic vrittis, which bring happiness. Both subtle and gross vrittis can arise independently, and each of them creates corresponding samskaras (impressions) in the mind, which affect human behavior. Only when the vrittis are controlled and the samskaras are purified can a person attain liberation and simultaneously enjoy the joy of life."""
1,6,"""The five mental states are of two kinds, pure and impure. The five mental states are: 1. Pramana, 2. Viprayaya, 3. Vikalpa, 4. Nidra, and 5. Smriti. Whether these five mental states are the only ones or there are more, is a question that can arise in the mind. After careful consideration, it can be understood that Maharsi has only mentioned the five fundamental mental states here. All other mental states are included in these five, and the cessation of these five impure mental states is also the cessation of all impure mental states. None of these five mental states are excessive or aberrant. Maharshi Patanjali has created the science of Yoga in a pure and scientific manner, and this is confirmed step by step in the scriptures. It is essential to understand the fundamental law of mental states. If this is not understood, the path of Yoga cannot be followed, the journey cannot begin, and the destination will not be achieved.

A mental state that directs the seeker towards their own true form and the supreme Self is pure and should be nurtured with effort. A mental state that turns the seeker away from their own true form and the supreme Self is impure and should be restrained with constant practice.

It is clear that the cessation of all the five fundamental mental states is not necessary, because until we reach the ultimate goal, we must continue our journey, and we cannot continue this journey without the help of these five fundamental mental states. We cannot advance on the path of Yoga, the path of God, without these five fundamental mental states. We will explain further how each mental state gives rise to both happiness and suffering."""
1,7,"""The three kinds of proof mentioned in Yoga Darshan are: direct, inference, and scriptural (verbal) evidence. That which provides clear knowledge of the nature and state of any object is called proof. Maharshi Patanjali first introduced the concept of proof among the five-fold pramana. These five pramana have a particular order: pratyaksha, anumana, agama, vikalpa, niddra, and smriti.

Pratyaksha refers to the direct perception of an object through the senses. This can be either pleasant or unpleasant, leading to either spiritual growth or distraction.

The question arises as to how one can distinguish between the direct senses that are pleasant and those that are unpleasant. In this world, what is perceived as pleasant and what is perceived as unpleasant can be distinguished by introspection. Pleasant sensations calm and delight the mind, leading to concentration. Unpleasant sensations, on the other hand, trouble and perturb the mind, leading to distraction.

The two kinds of direct senses are distinct in their effects on the mind. The pleasant direct senses are those that bring service to others, listening to spiritual songs, enjoying pleasant scents, and partaking of wholesome food, etc.

The unpleasant direct senses, on the other hand, are those that involve harm to others, viewing indecent scenes, listening to bad music, enjoying foul smells, and consuming unwholesome food, such as meat and intoxicants."
1,8,"The second of the five faculties is Vikara. The direct meaning of Vikara is false knowledge or wrong cognition. The Bhagavata Purana says that Vikara is not proof because it is destroyed by proof. Mithya-Jnana is an obstacle to our spiritual progress because it can deceive us and prevent us from reaching our destination. 

The true knowledge that comes through evidence or direct perception is necessary for spiritual practice and self-realization. 

Misconception is the exact opposite of true knowledge. For example, if you are walking in a dark path and see a rope and think it is a snake, it is a misconception. But if you investigate further, you will find that it is not a snake. 

This type of misconception has five types: avidya, asmita, raga, dwesha, and abhinivesha. These five types of obstacles can be understood in more detail. The direct meaning of Kaushalya is suffering. 

Yogadrishti deals with the entire topic of suffering and its causes, and ways to overcome them. This will be explained in more detail in the following sutras and pada."
1,9,"""Option is neither a proof nor a contradiction. Option is a fictional knowledge that, like experiencing knowledge through hearing, experiences a sensation, but there is no real object, person, or situation there. It is only linguistic, audible. Option is a power where anything can be created through words, but there is no real existence. This has been presented with many examples in scriptures, such as a daughter-in-law's son, the flower in the sky, the consciousness of a person, and the form of the self-existent person. In various situations, the habit of option is used for pure conduct, but sometimes it is created due to ignorance. The habit of option is both pleasant and unpleasant, bringing suffering and happiness."""
1,10,"Upon waking up, the memory of sleep is experienced, and even Rishi Patanjali has called it a vritti (mental tendency). In the Vyas Brahmya, it is asked how sleep is a special kind of knowledge? Then Vedavyasa Ji says, ""I got a good sleep, my mind is pleased and a little light, or my limbs feel heavy, darkness and restlessness are pervading my mind, my whole body is lethargic, I didn't get a good sleep at night, and such knowledge cannot be achieved without experience, that is why it is called a kind of vritti. This vritti is also subject to cultivation and purification. According to scriptures, a person's four states are waking, dreaming, deep sleep, and the fourth state. The waking state is when a person is fully awake and performs all his tasks with discrimination, with knowledge, and without any confusion. He distinguishes between good and bad and lives accordingly. The dream state is when a person is partially awake and partially asleep, and in this state, he is under the control of tendencies formed by actions and their consequences and experiences various things and sees dreams. Deep sleep is when a person is neither awake nor asleep, and in this state, the influence of tamas gun is most prevalent and there is a natural flow of satva gun, which causes a person to say goodbye to the world of the waking and sleep, 'Today, I slept peacefully.'"
