query,reference_question,reference_translation,reference_source,reference_chapter,reference_verse,question_match_score,semantic_similarity,bleu_score,rouge1,rouge2,rougeL
Why was Krishna teaching Yoga to Arjuna?,Why was Krishna teaching Yoga to Arjuna?,"That same ancient yoga has been today taught to you by me, for you are my devotee and my friend; it is the supreme secret.",yoga_sutras,4,3,1.0,0.5373880863189697,1.454459169972482e-155,0.055214723926380375,0.00617283950617284,0.049079754601226995
Why was Arjuna so grief-stricken?,Why was Arjuna so grief stricken?,"I do not see that this sorrow that burns up my senses would be removed, even if I were to attain prosperous and unrivaled dominion on earth or lordship over the gods.",yoga_sutras,2,8,0.9965526,0.3363504707813263,7.61770171344629e-232,0.06896551724137931,0.0,0.045977011494252866
Where did Krishna place the chariot?,Where did Krishna place the chariot?,"Sanjaya said, Thus addressed by Arjuna, Krishna stationed the best of chariots, O Dhritarashtra, in the midst of the two armies.",yoga_sutras,1,24,1.0,0.549101710319519,0.017601311795672602,0.11764705882352942,0.043243243243243246,0.0855614973262032
Why was Arjuna scared after seeing Krishna's divine form?,Why was Arjuna scared after seeing Krishna's divine form?,"On seeing Thee, touching the sky, shining in many colors, with mouths wide open, with large fiery eyes, I am terrified at heart and find neither courage nor peace, O Vishnu.",yoga_sutras,11,24,1.0000001,0.4000958502292633,7.229234202937077e-232,0.058823529411764705,0.0,0.04411764705882353
Why should we worship God?,Why should we worship God? Why should we pray to God? What happens by prayer or worship?,"Fly to Him for refuge with all your being, O Arjuna; by His grace you will obtain supreme peace and the eternal abode.",yoga_sutras,18,62,0.816994,0.2846287488937378,7.42901444327323e-232,0.06837606837606838,0.0,0.05982905982905983
What is the purpose of Yoga?,Why should we practice Yoga steadfastly?,"Knowing these paths, O Arjuna, no yogi is deluded; therefore, at all times, be steadfast in yoga.",yoga_sutras,8,27,0.7638084,0.47849443554878235,6.005929197315646e-232,0.028268551236749116,0.0,0.02120141342756184
What is the end result of Yoga practice?,How did the knowledge of Yoga get lost?,"This, handed down in regular succession by the royal sages, was known. This Yoga, however, has been lost here over time, O Parantapa (burner of the foes).",yoga_sutras,4,2,0.71262413,0.4272765517234802,1.1814074010024864e-155,0.041189931350114416,0.004597701149425287,0.02745995423340961
What is right perception?,Can everyone perceive the self?,"Now, such being the case, verily he who, owing to an untrained understanding, looks upon his Self, which is isolated, as the agent, he of perverted intelligence does not see.",yoga_sutras,18,16,0.52242124,0.28825944662094116,7.386826398032373e-232,0.06547619047619047,0.0,0.041666666666666664
What are the five kinds of thoughts in Yoga?,what happens when the mind is controlled by the practice of Yoga? ,"When the mind, restrained by the practice of yoga, attains quietude, and when one sees the Self by the Self, they are satisfied in their own Self.",yoga_sutras,6,20,0.6813333,0.5443564653396606,1.4075292997169113e-155,0.08312958435207823,0.009828009828009828,0.05867970660146699
What is Ego?,Is ego a hindrance in attaining Brahman?,"Having abandoned egoism, strength, arrogance, desire, anger, and covetousness, and being free from the notion of 'mine' and peaceful, he is fit for becoming Brahman.",yoga_sutras,18,53,0.57755506,0.4675508141517639,1.5594161544884496e-155,0.08945686900958466,0.012861736334405146,0.06389776357827476
